uf;ano;geral;homens;mulheres
PB;1996;19.24;33.13;6.21
AC;1996;21.5;36.4;6.27
RS;1996;15.38;27.08;3.92
AM;1996;18.83;34.74;2.77
TO;1996;12.01;19.54;4.1
MG;1996;7.56;13.01;2.19
SP;1996;36.1;67.6;5.53
SC;1996;8.45;13.85;2.75
PR;1996;15.31;27.34;3.37
PA;1996;12.7;22.27;2.86
ES;1996;42.49;76.48;8.73
MS;1996;37.45;66.26;8.23
DF;1996;33.75;64.3;5.48
CE;1996;12.99;23.78;2.4
RO;1996;24.48;40.4;7.21
PI;1996;4.37;7.78;1.02
MT;1996;29.51;48.95;8.04
GO;1996;17.32;29.23;5.27
RR;1996;43.29;69.87;15.03
PE;1996;40.84;77.6;6.4
SE;1996;14.65;26.03;3.61
BA;1996;15.01;27.6;2.76
RN;1996;9.41;16.4;2.67
MA;1996;6.95;12.67;1.18
AP;1996;41.37;73.8;8.49
RJ;1996;59.92;114.22;9.35
AL;1996;28.14;52.13;5.19
SP;1997;36.07;67.21;5.83
DF;1997;32.65;62.75;4.91
ES;1997;49.63;90.71;8.92
PI;1997;5.26;9.76;0.94
PE;1997;49.72;96.03;6.29
SE;1997;11.46;21.2;2.12
RR;1997;35.36;60.99;8.1
PB;1997;14.76;27.85;2.44
AM;1997;19.02;35.03;2.69
RJ;1997;58.67;111.9;9.18
RS;1997;16.88;30.24;3.82
PA;1997;13.34;23.67;2.72
MS;1997;37.1;66.04;7.26
AC;1997;19.99;34.02;5.65
CE;1997;14.82;27.79;2.39
MG;1997;7.96;13.94;2.09
AP;1997;34.83;63.26;6.01
MA;1997;6.28;10.83;1.72
PR;1997;17.29;31.31;3.41
MT;1997;33.48;56.88;7.86
GO;1997;16.03;27.84;4.05
RN;1997;9.05;16.41;2.03
BA;1997;15.58;28.81;2.71
TO;1997;10.36;16.8;3.6
AL;1997;24.1;44.56;4.54
RO;1997;28.27;49.72;5.42
SC;1997;8.53;14.71;2.05
RR;1998;51.4;90.04;9.49
AL;1998;21.65;40.95;3.26
PR;1998;17.55;31.45;3.81
PI;1998;5.15;8.94;1.44
AC;1998;21.39;37.74;4.71
CE;1998;13.48;26.02;1.55
PE;1998;58.78;113.94;7.12
TO;1998;11.64;19.39;3.51
BA;1998;9.89;18.45;1.55
PA;1998;13.41;24.11;2.35
MA;1998;5.19;9.28;1.07
DF;1998;32.91;62.75;5.39
MS;1998;33.57;59.34;7.35
RO;1998;38.7;68.2;7.28
PB;1998;13.56;25.46;2.36
ES;1998;57.84;104.73;11.19
GO;1998;14.83;25.93;3.2
MG;1998;8.83;15.46;2.32
SC;1998;8.23;13.47;2.74
AM;1998;21.18;38;4.14
SE;1998;10.38;19.64;1.51
SP;1998;39.63;74.49;5.77
MT;1998;35.68;61.11;8.24
RJ;1998;55.35;106.28;7.88
AP;1998;38.01;69.85;5.74
RN;1998;8.45;15.76;1.48
RS;1998;15.44;27.59;3.6
DF;1999;33.45;63.18;5.85
PE;1999;55.62;107.84;6.76
RO;1999;33.31;58.57;6.05
AL;1999;20.41;37.71;3.95
AM;1999;20.42;36.65;3.96
SP;1999;44.01;82.91;6.18
AP;1999;43.65;79.04;7.78
PA;1999;10.9;20.1;1.34
BA;1999;7.02;12.85;1.33
CE;1999;15.53;29.24;2.49
SC;1999;7.55;12.74;1.96
TO;1999;11.98;20.65;2.88
ES;1999;51.87;95.54;8.66
AC;1999;9.66;16.5;2.67
MA;1999;4.83;8.65;0.99
PR;1999;18.19;32.65;3.85
RS;1999;15.37;27.87;3.21
MG;1999;9.22;16.02;2.54
MS;1999;28.17;49.89;6.24
MT;1999;34.6;61.19;6.18
GO;1999;17.61;30.15;4.82
PB;1999;11.93;22.6;1.95
SE;1999;19.2;34.35;4.57
PI;1999;4.86;9.4;0.5
RR;1999;57.69;101.02;11.59
RJ;1999;52.58;100.66;7.58
RN;1999;8.43;15.43;1.76
RR;2000;40.07;65.04;13.89
TO;2000;15.21;26.86;2.83
PR;2000;18.7;34.04;3.39
MA;2000;6.22;11.34;1.12
PI;2000;8.08;15.3;0.96
PA;2000;13.01;23.71;2.05
AP;2000;32.7;63.47;1.68
DF;2000;33.49;65.62;3.83
SP;2000;42.1;79.55;6.08
AM;2000;19.62;36.48;2.57
MS;2000;31.32;55.38;6.93
SE;2000;22.97;42.51;4.06
CE;2000;16.66;31;2.78
RS;2000;16.37;29.79;3.35
PB;2000;14.72;27.69;2.48
MT;2000;39.53;70.61;6.65
RJ;2000;51.07;98.15;7.2
SC;2000;8.08;13.89;1.97
AC;2000;19.01;33.09;4.7
RN;2000;9.25;17.28;1.55
RO;2000;33.77;59.16;6.84
BA;2000;9.5;17.14;1.99
MG;2000;11.78;20.95;2.78
ES;2000;46.33;85.93;7.23
GO;2000;21.68;37.59;5.65
AL;2000;25.75;48.08;4.43
PE;2000;54.17;104;7.57
TO;2001;17.89;31.02;3.97
GO;2001;22.8;40.57;5.1
RJ;2001;50.56;96.74;7.47
MS;2001;29.41;52.53;6.06
RO;2001;40.7;70.28;9.48
PI;2001;9.11;15.99;2.39
SC;2001;8.75;15.02;2.19
AP;2001;36.49;67.9;4.83
RR;2001;32.02;58.5;4.25
ES;2001;46.02;84.37;8.29
DF;2001;33.04;64.67;4.02
PA;2001;15.23;27.05;3.09
CE;2001;17.01;31.74;2.95
BA;2001;12.27;22.96;1.82
MT;2001;38;66.85;7.39
PE;2001;58.81;113.9;7.1
RN;2001;11.43;21.54;1.67
AM;2001;16.72;29.48;3.81
PR;2001;21.16;38.19;4.02
SE;2001;28.5;54.54;3.34
SP;2001;41.91;79.34;5.73
PB;2001;13.95;26.07;2.52
RS;2001;17.98;33.09;3.42
AC;2001;21.06;37.65;4.21
MA;2001;9.82;17.81;1.87
MG;2001;13.05;23.68;2.63
AL;2001;29.05;55.54;3.69
MG;2002;16.32;29.74;3.17
GO;2002;26.29;47.12;5.54
AP;2002;35.04;65.18;4.66
MA;2002;10.44;19.63;1.33
SP;2002;38.04;71.82;5.4
CE;2002;18.87;35.29;3.19
MS;2002;31.95;56.47;7.2
TO;2002;14.08;24.14;3.39
RN;2002;10.48;19.75;1.58
MT;2002;36.39;63.92;7.26
AM;2002;17.32;32.1;2.37
PA;2002;18.47;34.26;2.29
PR;2002;23.12;41.89;4.12
AC;2002;25.72;47.33;3.77
PB;2002;17.36;32.47;2.55
SE;2002;30.11;57.22;3.93
AL;2002;34.32;65.31;4.73
RS;2002;18.37;33.59;3.73
PE;2002;54.37;105.4;6.55
RR;2002;35.17;61.95;7.08
RJ;2002;56.6;109.19;7.3
RO;2002;42.95;77.39;6.31
DF;2002;29.87;57.56;4.46
PI;2002;10.62;19.57;1.83
ES;2002;51.34;94.17;9.22
BA;2002;13.2;24.81;1.82
SC;2002;10.58;18.08;2.7
AM;2003;18.4;34.32;2.32
AL;2003;35.61;68.22;4.48
MA;2003;13.53;24.74;2.33
SP;2003;36.29;67.85;5.21
AP;2003;34.59;63.32;5.63
SC;2003;11.94;21.19;2.45
DF;2003;33.88;64.71;5.42
ES;2003;50.12;92.33;8.59
GO;2003;25.36;45.44;5.36
RS;2003;18.15;33.55;3.3
MS;2003;32.49;58.94;5.9
MT;2003;34.24;60;6.98
RJ;2003;54.53;102.08;6.76
PE;2003;55.34;107.57;6.49
PI;2003;10.19;18.43;2.15
RN;2003;14.02;26.37;2.17
RO;2003;38.87;68.73;7.2
RR;2003;29.66;54.67;3.44
AC;2003;24.47;43.61;5.03
PR;2003;25.79;46.91;4.54
SE;2003;25.01;47.32;3.55
PB;2003;17.5;33.84;1.93
PA;2003;21.36;39.36;2.86
BA;2003;16.11;30.28;2.23
TO;2003;16.58;28.78;3.65
MG;2003;20.85;38.01;4.01
CE;2003;20.14;38.51;2.59
AP;2004;31.09;56.55;5.44
RN;2004;11.76;22.56;1.4
ES;2004;49.08;90.68;8.23
RO;2004;38.04;69.57;4.58
AM;2004;16.96;30.61;3.17
MS;2004;29.83;54.26;5
AL;2004;35.11;66.7;4.97
MG;2004;22.84;42.12;3.93
PE;2004;50.66;97.9;6.48
BA;2004;16.69;30.8;2.84
SC;2004;11.22;19.41;2.76
DF;2004;31.16;60.07;4.46
TO;2004;15.79;27.79;2.93
CE;2004;20.12;38.01;3.05
PB;2004;19.05;35.54;3.29
PI;2004;11.08;20.76;1.73
SE;2004;23.85;45.43;2.99
PR;2004;28.21;51.45;4.92
AC;2004;18.56;33.6;3.28
RR;2004;23.11;41.43;3.9
PA;2004;22.68;42.07;2.81
MT;2004;31.61;54.35;7.55
RJ;2004;51.42;95.19;6.45
RS;2004;18.67;34.3;3.6
GO;2004;28.21;51.18;5.23
MA;2004;12.31;22.86;1.77
SP;2004;28.88;53.78;4.3
SP;2005;21.93;40.12;3.87
PR;2005;29.01;53.65;3.81
MT;2005;32.35;56.45;3.72
RS;2005;18.63;34.08;3.84
RJ;2005;48.15;88.91;4.55
PB;2005;20.71;39.14;4.56
AL;2005;39.88;76.7;6.38
SE;2005;24.74;47.57;2.61
PA;2005;27.63;50.92;6.28
MA;2005;15.31;28.88;3.39
ES;2005;47;86.05;5.61
RR;2005;24.27;40.93;3.27
TO;2005;14.55;25.33;3.79
DF;2005;28.16;54.64;4.93
AC;2005;18.51;32.59;6.38
SC;2005;10.79;19.2;4.64
GO;2005;26.12;47.6;2.76
BA;2005;20.85;38.15;3.53
MG;2005;21.95;40.37;2.95
AP;2005;32.96;60.64;1.84
MS;2005;27.86;49.25;8.44
AM;2005;18.53;33.92;6.2
CE;2005;20.98;39.29;2.52
RO;2005;36.16;64.15;2.23
PE;2005;51.46;99.53;5.9
RN;2005;13.52;24.75;3.3
PI;2005;12.23;22.19;2.93
GO;2006;26.33;47.77;3.91
RR;2006;27.52;46.49;3.28
DF;2006;27.68;53.57;4.17
MA;2006;15.66;29.19;3.15
AP;2006;32.8;61.15;2.1
PI;2006;13.76;25.86;3.34
MS;2006;29.72;54.01;10.3
PE;2006;52.59;101.24;4.65
PB;2006;22.77;43.28;4.67
ES;2006;50.86;91.95;6.35
RO;2006;37.44;65.98;3
AM;2006;21.11;38.82;6.07
RN;2006;14.94;27.71;3.29
RS;2006;18.08;33.66;3.89
TO;2006;17.18;30.12;2.91
SE;2006;29.23;55.45;2.64
AL;2006;53.1;101.57;6.85
SP;2006;20.4;36.69;4.46
CE;2006;21.8;41.33;2.02
PA;2006;29.15;53.58;6.57
MG;2006;21.44;39.25;3.24
RJ;2006;47.48;87.96;4.89
SC;2006;11.17;19.31;6.69
PR;2006;29.82;55.09;3.88
AC;2006;23.01;41.34;4.94
MT;2006;31.36;56.06;3.74
BA;2006;23.73;44.14;3.89
MT;2007;30.54;53.4;2.79
AM;2007;21.09;38.95;5.02
ES;2007;53.32;97.22;8.92
GO;2007;26.04;47.8;3.17
PI;2007;12.49;22.87;3.39
RN;2007;19.09;36.23;3.58
RO;2007;27.16;49.83;2.27
RR;2007;27.93;44.6;4.09
SE;2007;25.67;48.95;2.64
AC;2007;19.47;33.36;6.63
AL;2007;59.51;114.62;6.4
AP;2007;27.01;49.86;1.93
BA;2007;25.98;48.43;3.96
CE;2007;23.18;44.36;2.2
DF;2007;29.21;56.32;3.7
MA;2007;17.98;34.11;2.93
MS;2007;30.45;54.29;10.16
MG;2007;20.91;38.11;3.05
PA;2007;30.26;55.82;3.48
PB;2007;23.67;44.49;4.5
PR;2007;29.53;54.93;4.29
PE;2007;53.04;102.43;5.56
RJ;2007;41.62;77.99;4.69
RS;2007;19.84;36.57;4.02
SC;2007;10.44;18.59;6.72
SP;2007;15.45;27.85;5.18
TO;2007;16.63;28.18;3.46
MS;2008;29.92;54.51;10.28
GO;2008;30.65;56.32;2.76
TO;2008;18.5;33.24;3.9
DF;2008;31.75;61.23;4.04
CE;2008;23.89;46.1;2.4
PE;2008;50.9;97.83;4.83
PA;2008;39.06;72.51;4.83
SC;2008;13.25;23.53;5.06
ES;2008;56.37;102.88;7.13
MG;2008;19.59;35.69;3.59
AP;2008;34.24;63.71;2.49
RO;2008;32.13;57.94;2.73
BA;2008;33.22;62.08;4.56
MT;2008;31.68;56.32;3.09
AL;2008;60.33;118.02;6.52
PI;2008;11.57;20.88;4.26
PR;2008;32.53;59.78;4.83
AC;2008;19.55;35.03;5.92
MA;2008;20.25;37.99;2.7
SE;2008;27.75;53.6;3.64
RR;2008;25.43;41;3.07
PB;2008;27.49;51.53;5.62
RS;2008;21.92;40.49;3.69
RN;2008;22.98;43.08;4.46
SP;2008;15.44;27.39;3.69
AM;2008;24.84;45.67;4.43
RJ;2008;35.67;65.77;5.29
PR;2009;34.6;63.36;5.64
PI;2009;12.24;22.76;4.63
PA;2009;40.22;74.54;6.18
PB;2009;33.5;63.32;6.02
TO;2009;22.36;39.24;3.99
RJ;2009;33.5;61.37;5.31
MT;2009;33.31;58.95;3.05
CE;2009;25.32;48.5;1.91
SP;2009;15.84;28.15;4.44
MA;2009;21.95;41.35;3.12
MS;2009;30.71;55.93;11.62
AM;2009;26.99;49.77;4.12
BA;2009;37.11;69.48;4.76
MG;2009;18.67;33.7;3.75
ES;2009;56.92;102.69;10.57
SC;2009;13.4;23.72;6.72
AP;2009;30.32;56.62;2.61
AC;2009;22.13;39.35;6.25
RR;2009;27.99;41.8;4.5
DF;2009;33.83;64.57;3.61
SE;2009;32.33;62.37;3.48
RO;2009;35.77;63.63;2.94
RS;2009;20.54;37.55;3.9
PE;2009;44.98;85.63;5.23
AL;2009;59.34;114.23;6.53
GO;2009;32.09;59.15;3.31
RN;2009;25.49;48.38;5.02
PI;2010;13.18;24.27;5.78
PR;2010;34.33;63.08;4.79
AM;2010;31.05;58;3.96
PB;2010;38.63;73.23;6.13
RO;2010;34.94;63.76;3.42
MA;2010;23.1;42.86;3.88
DF;2010;30.58;58.59;4.67
TO;2010;23.63;41.42;3.99
CE;2010;31.8;61.01;2.47
RS;2010;19.49;35.31;3.94
PA;2010;46.44;85.87;4.44
RN;2010;25.56;47.71;5.97
SE;2010;32.68;62.98;4.23
BA;2010;41.69;77.24;6.04
AC;2010;22.49;39.63;5.27
AL;2010;66.88;128.98;5.26
RJ;2010;35.44;64.24;5.74
MG;2010;18.6;33.53;3.58
ES;2010;50.98;93.46;4.77
GO;2010;32.96;60.2;3.9
MS;2010;26.78;46.64;9.17
SC;2010;13.17;22.9;8.21
PE;2010;39.48;76.2;5.99
AP;2010;38.83;72.8;3.47
RR;2010;26.86;48.06;4.83
SP;2010;14.63;25.73;5.15
MT;2010;32.02;57.37;3.09
AL;2011;71.38;138.3;5.51
PA;2011;39.96;74.21;5.71
AP;2011;30.54;55.46;3.84
MS;2011;27.16;47.96;8.63
DF;2011;34.55;65.86;5.39
CE;2011;32.73;62.6;1.98
PB;2011;42.57;80.27;5.11
SP;2011;14.04;25.1;4.76
SE;2011;34.97;66.07;4.42
PI;2011;14.01;26.25;5.83
RO;2011;28.54;49.73;2.26
RR;2011;20.64;35.93;6.81
MT;2011;32.8;57.43;2.61
PR;2011;32.11;58.69;5.61
ES;2011;47.13;86.14;4.28
RS;2011;19.35;35.41;4.37
RJ;2011;29.67;54.44;8.1
RN;2011;32.95;62.54;6.89
MA;2011;23.94;44.28;4.21
AC;2011;21.97;38.95;5.69
BA;2011;39.36;72.41;4.8
MG;2011;21.6;39.17;4.38
SC;2011;12.83;23.25;8.18
AM;2011;36.51;67.95;4.24
TO;2011;25.76;43.45;3.52
GO;2011;37.36;66.36;5.38
PE;2011;39.15;74.98;6.03
DF;2012;36.02;68.93;4.61
MA;2012;26.46;49.83;4.84
MT;2012;34.47;60.28;2.84
AC;2012;27.41;50.39;6.42
MS;2012;27.26;48.48;8.46
BA;2012;43.37;79.02;5.93
MG;2012;22.97;41.92;6.34
AL;2012;64.63;124.76;4.52
TO;2012;26.73;45.86;4.32
SE;2012;41.64;79.65;3.77
PR;2012;32.98;60.19;5.37
PE;2012;37.25;72.3;5.97
PI;2012;16.61;30.92;5.69
PB;2012;39.97;75.11;5.74
RJ;2012;29.4;54.26;7.63
RN;2012;34.81;67.1;6.71
PA;2012;41.36;75.84;6.05
GO;2012;45.37;83.09;5.45
ES;2012;46.58;85.34;7.11
RS;2012;22.11;40.38;4.41
RO;2012;33.08;58.57;3.1
RR;2012;30.66;52.4;6.63
CE;2012;44.63;86.32;2.77
AP;2012;36.21;67.48;3.36
SC;2012;12.86;22.32;7.83
AM;2012;37.42;67.79;4.26
SP;2012;15.67;27.95;4.22
CE;2013;50.94;97.41;2.87
GO;2013;46.23;83.69;5.03
BA;2013;37.84;68.68;5.8
RS;2013;20.79;38.31;4.03
AP;2013;30.61;55.51;3.81
AC;2013;30.13;51.51;5.7
PI;2013;18.78;34.99;5.45
PA;2013;42.72;77.89;6.08
MS;2013;24.35;42.58;8.7
AM;2013;31.27;56.9;4.43
SC;2013;11.89;20.2;8.17
MG;2013;22.9;41.81;5.04
RJ;2013;31.22;56.3;8.39
MA;2013;31.83;60.29;6.12
PR;2013;26.69;48.28;5.24
RR;2013;43.84;71.04;5.29
MT;2013;36.39;65.05;2.74
RO;2013;27.94;48.84;2.99
RN;2013;42.88;81.52;6.13
SP;2013;13.82;24.41;8.16
PE;2013;33.92;64.2;5.71
SE;2013;43.95;84.43;5.18
PB;2013;39.62;74.94;5.01
DF;2013;30;57.12;5.13
ES;2013;42.24;75.53;14.77
AL;2013;65.07;124.52;5.28
TO;2013;23.61;40.83;3.63
RR;2014;31.79;52.16;4.65
PI;2014;22.44;41.75;4.9
RN;2014;47;89.29;5.71
GO;2014;44.25;79.33;6.51
RS;2014;24.3;44.72;3.78
PR;2014;26.89;48.76;4.08
RO;2014;33.05;58.27;3.21
PE;2014;36.19;69.22;6.38
SE;2014;49.42;94.19;5.74
MA;2014;35.93;67.83;6.26
AP;2014;34.09;62.28;4.24
PA;2014;42.68;77.66;6.41
MG;2014;22.78;41.83;4.09
SC;2014;13.45;22.29;7.27
AM;2014;32.01;59.22;5.3
DF;2014;29.55;57.7;5.29
MS;2014;26.72;46.71;6.99
AL;2014;62.77;121.13;4.91
TO;2014;25.45;44.84;4.28
BA;2014;40.01;73.76;6.19
MT;2014;42.11;75.39;2.67
SP;2014;14.04;24.57;5.05
CE;2014;52.3;100.11;3.81
AC;2014;29.36;53.15;6.96
RJ;2014;34.73;61.19;8.73
ES;2014;41.41;75.69;9.52
PB;2014;39.32;74.9;4.99
RR;2015;40.14;67.1;6.39
PR;2015;26.3;47.41;3.77
ES;2015;36.89;66.59;11.43
BA;2015;39.54;71.75;6.41
MT;2015;36.83;64.5;2.4
TO;2015;33.19;58;4.88
PB;2015;38.31;72.96;4.28
RO;2015;33.93;59.55;2.8
RN;2015;44.88;85.68;5.32
SP;2015;12.22;20.96;4.73
GO;2015;45.33;82.57;6.01
PI;2015;20.29;37.09;4.85
CE;2015;46.74;89.6;4.09
MG;2015;21.71;39.58;5.87
DF;2015;25.45;49.29;4.65
AP;2015;38.21;71.12;4.23
MA;2015;35.31;66.89;5.58
SC;2015;14.03;24.41;5.44
AM;2015;37.37;68.22;4.41
SE;2015;58.09;112.35;5.11
AL;2015;52.32;101.69;4.77
PE;2015;41.16;79.64;4.3
MS;2015;23.91;42.79;6.87
RJ;2015;30.61;54.55;7.49
AC;2015;27;48.83;7.27
PA;2015;44.95;81.93;7.16
RS;2015;26.17;47.77;3.91
